Word,Rank,Frequency
the,1,401042
and,2,286418
of,3,213975
to,4,144319
a,5,101979
in,6,100852
i,7,90805
that,8,86439
he,9,77602
it,10,66969
his,11,64206
for,12,58635
was,13,56167
with,14,52827
not,15,52152
is,16,49348
you,17,49194
be,18,48377
as,19,43610
but,20,41842
all,21,41180
they,22,39329
him,23,39036
shall,24,35048
her,25,34657
my,26,31533
had,27,30967
them,28,30737
have,29,30368
s,30,29755
said,31,28427
me,32,28407
at,33,27542
from,34,27263
she,35,27235
unto,36,27030
this,37,26756
which,38,26341
on,39,25819
lord,40,25770
by,41,25574
their,42,23427
so,43,23374
will,44,22135
were,45,20626
are,46,20581
thou,47,20277
there,48,19145
when,49,18994
or,50,18985
one,51,18668
no,52,17543
what,53,17379
out,54,17318
man,55,16845
thy,56,16827
god,57,15861
if,58,15741
we,59,15422
your,60,15363
then,61,15274
up,62,15076
an,63,14712
thee,64,14421
do,65,14124
now,66,14035
ye,67,14022
upon,68,13761
who,69,12786
into,70,12299
more,71,12199
would,72,12161
very,73,12030
come,74,10927
could,75,10785
like,76,10405
before,77,10354
been,78,10239
any,79,10074
came,80,10011
day,81,9980
king,82,9451
did,83,9371
little,84,9195
know,85,9171
am,86,8961
than,87,8733
house,88,8701
good,89,8698
every,90,8676
see,91,8659
great,92,8577
these,93,8551
go,94,8524
down,95,8458
us,96,8413
people,97,8406
some,98,8269
son,99,8262
made,100,8234
say,101,8212
men,102,8178
after,103,8177
how,104,8151
our,105,8146
time,106,8123
let,107,8030
about,108,7793
d,109,7790
israel,110,7776
such,111,7685
over,112,7684
may,113,7653
should,114,7651
hath,115,7605
well,116,7527
only,117,7522
even,118,7440
other,119,7359
hand,120,7338
two,121,7137
mr,122,7069
must,123,7000
can,124,6985
father,125,6957
against,126,6957
much,127,6927
went,128,6921
t,129,6769
make,130,6765
children,131,6759
yet,132,6705
own,133,6665
o,134,6660
also,135,6572
again,136,6370
old,137,6244
land,138,6243
away,139,6081
things,140,5931
thing,141,5922
might,142,5892
first,143,5827
way,144,5753
because,145,5690
mrs,146,5571
where,147,5560
never,148,5515
